电影名称,导演,主演,评分,评价人数,quote,pic
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺,9.3,635385人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,9.1,955372人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷,9.2,737578人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
饮食男女,李安 Ang Lee,郎雄,9.2,719962人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
辩护人,杨宇硕 Woo-seok Yang,宋康昊,9.2,655030人评价,电影的现实意义大过电影本身。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
本杰明·巴顿奇事,大卫·芬奇 David Fincher,布拉德·皮特,9.0,1099397人评价,在时间之河里感受溺水之苦。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
搏击俱乐部,大卫·芬奇 David Fincher,爱德华·诺顿,9.0,967829人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg
美丽心灵,朗·霍华德 Ron Howard,罗素·克劳,9.1,850003人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德,9.2,638521人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
情书,岩井俊二 Shunji Iwai,中山美穗,8.9,1317751人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,丹尼尔·雷德克里夫,9.0,965326人评价,10年的完美句点。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.jpg
两杆大烟枪,盖·里奇 Guy Ritchie,杰森·弗莱明,9.1,673922人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
窃听风暴,,,9.2,629048人评价,别样人生。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
音乐之声,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯,9.1,680704人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
功夫,周星驰 Stephen Chow,周星驰,8.9,1327605人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫,9.0,885460人评价,不一样的导演，不一样的哈利·波特。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.jpg
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇,8.9,1088565人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
阿凡达,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿,8.8,1579289人评价,绝对意义上的美轮美奂。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
看不见的客人,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯,8.8,1433306人评价,你以为你以为的就是你以为的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯,9.1,721419人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
沉默的羔羊,乔纳森·戴米 Jonathan Demme,朱迪·福斯特,8.9,1010945人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
小鞋子,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉,9.2,461901人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
布达佩斯大饭店,韦斯·安德森 Wes Anderson,拉尔夫·费因斯,8.9,1079618人评价,小清新的故事里注入了大历史的情怀。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg
蝴蝶效应,,,8.9,1062572人评价,人的命运被自己瞬间的抉择改变。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
飞越疯人院,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森,9.1,601198人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
禁闭岛,Martin Scorsese,莱昂纳多·迪卡普里奥,8.9,1107173人评价,昔日翩翩少年，今日大腹便便。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg
还有明天,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西,9.3,359778人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.jpg
心灵捕手,格斯·范·桑特 Gus Van Sant,马特·达蒙,9.0,811386人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
致命魔术,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼,8.9,960312人评价,孪生蝙蝠侠大战克隆金刚狼。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔,8.9,954551人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
超脱,托尼·凯耶 Tony Kaye,艾德里安·布洛迪,9.0,719127人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
哈利·波特与密室,Chris Columbus,丹尼尔·雷德克里夫,8.9,911628人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.jpg
一一,杨德昌 Edward Yang,吴念真,9.1,504650人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2924629258.jpg
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰,8.8,1089992人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2917778954.jpg
摩登时代,查理·卓别林 Charles Chaplin,查理·卓别林,9.3,345163人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
杀人回忆,奉俊昊 Joon-ho Bong,宋康昊,8.9,832642人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg
致命ID,詹姆斯·曼高德 James Mangold,约翰·库萨克,8.9,942906人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
春光乍泄,王家卫 Kar Wai Wong,张国荣,9.0,707022人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普,8.8,964476人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
海豚湾,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯,9.3,381549人评价,海豚的微笑，是世界上最高明的伪装。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
美国往事,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗,9.1,469618人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
红辣椒,今敏 Satoshi Kon,林原惠美,9.0,566479人评价,梦的勾结。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg
七宗罪,大卫·芬奇 David Fincher,摩根·弗里曼,8.8,1057340人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
唐伯虎点秋香,李力持 Lik-Chi Lee,周星驰,8.8,1219813人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
狩猎,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森,9.1,467746人评价,人言可畏。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
幽灵公主,宫崎骏 Hayao Miyazaki,松田洋治,8.9,666695人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.jpg
甜蜜蜜,陈可辛 Peter Chan,黎明,8.9,669586人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
寄生虫,奉俊昊 Joon-ho Bong,宋康昊,8.8,1542507人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华,9.2,332890人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.jpg
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔,8.9,811458人评价,诺兰就是保证。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
7号房的礼物,李焕庆 Hwan-kyeong Lee,柳承龙,8.9,620092人评价,《我是山姆》的《美丽人生》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,8.8,1141184人评价,Balalala~~~,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg
第六感,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯,8.9,634389人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,伊桑·霍克,8.8,796937人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
茶馆,谢添 Tian Xie,于是之,9.6,206787人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,伊桑·霍克,8.9,650780人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2191788134.jpg
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,中谷美纪,8.8,773243人评价,以戏谑来戏谑戏谑。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
